2026-07-26 13:36:09,048 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 13:42:22,273 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 13:48:15,835 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 13:48:16,429 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 13:48:27,379 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-26 13:48:27,388 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-26 14:46:14,256 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 14:51:40,974 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 14:57:27,620 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 14:57:27,627 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:02:59,524 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:02:59,561 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:09:34,717 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:09:34,728 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:11:19,135 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:11:19,145 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:11:57,579 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:11:58,593 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:31:16,236 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:31:16,273 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:31:44,017 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:31:45,133 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:52:54,279 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 16:52:54,445 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 17:02:09,244 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 17:02:09,246 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-26 17:02:16,237 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-26 17:02:16,253 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-27 09:14:04,572 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-27 09:14:04,611 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-27 09:14:12,330 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-27 09:14:12,339 - INFO - Recorded move: MoveCommand(from_row=4, from_col=4, to_row=3, to_col=4)
2026-07-28 13:22:17,274 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
2026-07-28 13:22:17,283 - INFO - Recorded move: MoveCommand(from_row=6, from_col=4, to_row=4, to_col=4)
